City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Rawson,AR,-43.3002,-65.1023,53.89,67,0,15.14,clear sky
288,Paamiut,GL,61.994,-49.6678,26.44,91,97,15.79,light snow
289,Ontario,US,34.0633,-117.6509,73.69,74,1,6.91,haze
290,Huarmey,PE,-10.0681,-78.1522,64.51,88,72,8.37,broken clouds
291,Matagami,CA,49.7502,-77.6328,35.71,87,75,6.91,broken clouds
292,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,42.67,60,22,10.36,few clouds
293,Makakilo City,US,21.3469,-158.0858,79.12,67,20,6.91,few clouds
294,Grindavik,IS,63.8424,-22.4338,39.15,100,90,16.11,heavy snow
295,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.02,93,83,0.96,broken clouds
296,Potosi,BO,-19.5836,-65.7531,42.6,76,100,3.69,overcast clouds
297,Fairview,US,40.8126,-73.999,47.21,64,1,3.44,clear sky
298,Imbituba,BR,-28.24,-48.6703,73.29,93,100,7.2,overcast clouds
299,Paracuru,BR,-3.41,-39.0306,81.1,82,98,7.0,overcast clouds
300,Eureka,US,40.8021,-124.1637,52.66,95,82,1.99,broken clouds
301,Hay River,CA,60.8156,-115.7999,31.98,86,75,6.91,broken clouds
302,Venice,US,27.0998,-82.4543,69.01,98,90,8.99,mist
303,Dibulla,CO,11.2725,-73.3091,76.12,83,99,5.64,overcast clouds
304,Jacksonville Beach,US,30.2947,-81.3931,55.42,97,90,19.57,light rain
305,Adrar,MR,20.5022,-10.0711,65.84,44,46,9.62,scattered clouds
306,Manacapuru,BR,-3.2997,-60.6206,79.38,77,46,3.13,scattered clouds
307,North Platte,US,41.1239,-100.7654,50.38,81,1,4.61,clear sky
308,San Pedro,PH,14.35,121.0167,92.43,64,20,9.22,few clouds
309,Santa Marta,CO,11.2408,-74.199,78.85,83,20,3.44,few clouds
310,Cookeville,US,36.1628,-85.5016,43.25,93,1,0.0,clear sky
311,Florianopolis,BR,-27.6146,-48.5012,70.83,77,75,1.01,broken clouds
312,Ballina,AU,-28.8667,153.5667,77.18,66,75,14.97,broken clouds
313,Iquique,CL,-20.2208,-70.1431,62.64,77,6,3.04,clear sky
314,Guapo,BR,-16.8306,-49.5319,70.18,92,61,4.41,broken clouds
315,Nara,JP,34.6851,135.8049,66.9,38,97,2.39,overcast clouds
316,Kenai,US,60.5544,-151.2583,31.14,98,40,0.0,mist
317,Tacuarembo,UY,-31.7333,-55.9833,54.91,66,100,13.8,overcast clouds
318,Virginia Beach,US,36.8529,-75.978,52.02,61,40,1.99,scattered clouds
319,Ewa Beach,US,21.3156,-158.0072,80.55,66,20,15.01,few clouds
320,Half Moon Bay,US,37.4636,-122.4286,57.9,90,1,0.0,mist
321,Butler,US,39.4501,-84.5666,40.14,78,1,3.44,clear sky
322,Boa Vista,BR,2.8197,-60.6733,84.18,58,0,9.22,clear sky
323,Pacifica,US,37.6138,-122.4869,57.7,89,40,6.91,mist
