City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
309,Komsomolskiy,UZ,40.4272,71.7189,48.92,66,40,4.61
310,Ilulissat,GL,69.2167,-51.1,26.62,86,75,3.44
311,Aasiaat,GL,68.7098,-52.8699,22.26,96,100,11.39
312,Hovd,MN,48.0056,91.6419,33.24,56,4,2.71
313,Sangar,RU,63.9242,127.4739,19.9,95,100,6.73
314,Cervo,ES,43.6702,-7.4101,57.2,79,100,13.33
315,Coahuayana,MX,18.7333,-103.6833,81.88,88,9,1.45
316,Vanavara,RU,60.34,102.2797,17.56,85,19,4.88
317,Rundu,NA,-17.9333,19.7667,65.17,84,32,1.99
318,Dali,CN,25.7,100.1833,57.52,88,44,2.1
319,Phetchaburi,TH,12.9667,99.5833,78.91,89,92,2.46
320,Seoul,KR,37.5683,126.9778,60.37,51,0,8.05
321,Enshi,CN,30.3,109.4833,57.31,95,100,0.43
322,Fez,MA,34.0372,-4.9998,62.85,48,0,3.44
323,Pacific Grove,US,36.6177,-121.9166,75.42,78,1,1.01
324,Margate,GB,51.3813,1.3862,58.3,79,46,4.0
325,Road Town,VG,18.4167,-64.6167,80.2,70,7,8.72
326,Taungdwingyi,MM,20.0167,95.55,76.37,84,33,3.44
327,Emba,KZ,48.8264,58.1442,31.41,56,100,7.9
328,Lorengau,PG,-2.0226,147.2712,85.73,66,100,5.82
329,Panzhihua,CN,26.5851,101.7128,62.73,91,96,1.81
330,Padang,ID,-0.9492,100.3543,75.25,71,91,2.55
331,Buribay,RU,51.9617,58.1592,35.55,84,100,13.73
332,Bayonet Point,US,28.3267,-82.6834,80.6,81,81,3.0
333,Aras,ES,42.5617,-2.356,57.0,100,100,4.94
334,Venado Tuerto,AR,-33.7456,-61.9688,73.78,24,0,10.0
335,Half Moon Bay,US,37.4636,-122.4286,75.38,69,1,10.36
336,Ukholovo,RU,53.7929,40.4892,40.26,75,100,8.86
337,Lavumisa,SZ,-27.31,31.892,62.82,82,99,5.21
338,Saint-Augustin,CA,51.226,-58.6502,36.52,75,0,4.03
339,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,90,5.75
340,Kahului,US,20.8947,-156.47,82.98,71,40,25.32
341,Bethel,US,41.3712,-73.414,53.58,84,90,1.99
342,Kruisfontein,ZA,-34.0033,24.7314,60.89,80,100,10.8
343,Shaunavon,CA,49.6501,-108.4181,46.18,53,98,12.21
344,Saint-Joseph,RE,-21.3667,55.6167,71.98,82,28,10.58
345,Hanzhong,CN,33.0728,107.0303,60.13,78,95,3.13
346,Tahta,EG,26.7693,31.5021,71.71,32,2,7.2
347,Giyani,ZA,-23.3025,30.7187,59.99,80,43,3.78
348,Palmer,US,42.1584,-72.3287,43.86,83,20,3.44
349,Graaff-Reinet,ZA,-32.2522,24.5308,58.93,93,68,2.57
350,Turukhansk,RU,65.8167,87.9833,16.75,92,100,19.62
351,Concordia,AR,-31.393,-58.0209,74.79,56,4,1.99
352,Whitehorse,CA,60.7161,-135.0538,36.37,44,40,0.0
353,Voh,NC,-20.9667,164.7,83.84,57,0,7.54
354,Moron,AR,-34.6534,-58.6198,78.49,64,72,7.87
355,Sindor,RU,62.8629,51.8905,20.61,89,23,7.16
356,Bluefield,US,37.2698,-81.2223,55.78,84,90,13.0
357,Chegutu,ZW,-18.1302,30.1407,60.37,69,8,6.55
358,Hirara,JP,24.8,125.2833,77.27,65,20,9.22
359,Davila,PH,18.4726,120.5763,85.98,71,17,21.85
360,Fillan,NO,63.6064,8.9696,50.38,95,100,10.36
361,Vila Velha,BR,-20.3297,-40.2925,76.95,78,40,8.05
362,Jumla,NP,29.2747,82.1838,43.03,59,0,4.14
363,Wageningen,NL,51.9667,5.6667,52.86,87,40,1.01
364,Agadez,NE,19.75,10.25,78.35,16,56,6.2
365,Dejen,ET,10.1667,38.1333,50.76,49,46,3.74
366,Ouango,CF,4.3133,22.5552,70.75,99,100,0.34
